ID	DrinkingCategory	Species	Sex	Age	Cortisol	ACTH	Testosterone	Deoxycorticosterone	Aldosterone	DHEAS	Osteocalcin	CTX	FGF_basic	IL_1b	G_CSF	IL_10	IL_6	IL_12	RANTES	Eotaxin	IL_17	MIP_1a	GM_CSF	MIP_1b	MCP_1	IL_15	EGF	IL_5	HGF	VEGF	IFN_y	MDC	I_TAC	MIFAnalyte_46	IL_1RA	TNF_a	IL_2	IP_10	MIG	IL_4	IL_8	IL_23	VEGF_D	MIF
10005	LD	Cyno	M	6.253379604	17.47108108	57.55																																						
10006	VHD	Cyno	M	5.585330294	18.11054054	47.96277778																																						
10007	VHD	Cyno	M	5.87281053	13.30216216	58.81216216																																						
10008	VHD	Cyno	M	6.069939834	17.55	56.76810811																																						
10010	LD	Cyno	M	6.65037612	17.50027027	67.59621622																																						
10011	HD	Cyno	M	6.499791235	21.99324324	46.65513514																																						
10012	VHD	Cyno	M	6.242427976	12.9372973	65.54810811																																						
10013	BD	Cyno	M	6.121960068	18.52243243	61.46162162																																						
10014	BD	Cyno	M	6.089105184	10.23162162	52.81135135																																						
10015	LD	Cyno	M	5.842693553	14.7872973	62.06297297																																						
10016	LD	Cyno	M	6.261593325			11.435	342			13.43333333	1.276666667																																
10018	LD	Cyno	M	6.450508908			13.875	342.5			10.36666667	1.316666667																																
10019	LD	Cyno	M	6.554549375			10.52	358			17.73666667	1.753333333																																
10020	VHD	Cyno	M	6.450508908			3.045	336.5			27.65333333	1.513333333																																
10021	LD	Cyno	M	6.576452631			10.78	368			27.15333333	1.826666667																																
10022	LD	Cyno	M	6.354682163			12.305	310			9.02	2.253333333																																
10023	LD	Cyno	M	6.554549375			8.785	287.5			14.81666667	1.596666667																																
10024	LD	Cyno	M	6.316351465			5.875	348.5			13.69	1.11																																
10025	LD	Cyno	M	6.800961005			12.335	530.5			12.51666667	1.27																																
10026	LD	Cyno	M	6.505267049			7.365	379			9.073333333	0.863																																
10027	LD	Cyno	M	6.538121933			7.835	395			30.31333333	1.953333333																																
10032	VHD	Cyno	F	6.658589841							18.62	1.336666667																																
10035	VHD	Cyno	F	6.88857403							11.24333333	1.47																																
10036	VHD	Cyno	F	6.86119496							14.3	1.91																																
10038	VHD	Cyno	F	6.721561702							18.93666667	2.116666667																																
10039	BD	Cyno	F	6.653114027							12.05666667	1.074666667																																
10040	VHD	Cyno	F	6.472412165							8.746666667	0.664333333																																
10041	VHD	Cyno	F	6.73251333							20.18	2.566666667																																
10042	LD	Cyno	F	6.664065655							16.27333333	1.983333333																																
10044	VHD	Cyno	F	6.833815889							11.47333333	1.113333333																																
10045	VHD	Cyno	F	6.811912633							11.42333333	1.153333333																																
10048	LD	Rhesus	M	9.856465225	28.11	31	9.34	346	169.33	0.093	7.183333333	0.643666667	4.736784237	7.864457784	28.35523558	2.185780788	3.766555337	135.8167064	9862.297327	188.1076263	5.174497272	18.11281587	0.696353314	60.22144411	102.6043338	12.59696227	1.435772871	0.223375429	45.18937932	0.523750533	12.81312566	412.0684732	40.01012563	39.9522498	2332.658957	9.763302473	81.64091686	2.815847789	37.1035389	3.184534416	0.89	81.64091686	0.523750533	
10049	HD	Rhesus	M	9.81539662	29.09	41	14.02	464	119.57	0.086	11.17666667	0.664666667	2.957152312	2.936710922	22.89571345	1.22933859	1.468919938	156.8701416	3645.613953	92.75505316	5.385416199	16.12818232	0.663941617	54.17521187	156.8187665	10.88802856	0.88	0.186173431	41.5085306	0.432909883	10.35428649	527.1512682	39.43969995	42.16883328	2184.486549	8.505504507	34.39864009	4.871697743	33.90805293	2.548683537	1.789101147	34.39864009	0.432909883	
10051	BD	Rhesus	M	9.224008707	25.64	29	7.73	325	105.93	0.078	12.91333333	0.904333333	3.509836481	6.163099435	30.41235818	2.020348758	1.715359502	120.5352413	1856.273045	150.2825288	10.26178009	19.26866009	0.778220672	55.71912587	105.0338816	10.64512179	1.423680362	0.410115328	41.5085306	0.500853446	15.26523143	451.6971248	81.65327592	34.42464353	1975.568161	9.766598383	73.94978172	2.233554352	35.27229506	3.398101352	0.89	73.94978172	0.500853446	
10052	LD	Rhesus	M	9.177464287	27.76	12	2.99	373	169.67	0.139	11.4	0.912	4.353209383	8.048395216	22.89571345	1.887841151	1.345716526	212.3199288	1188.621181	162.1253707	5.807254051	22.11419605	1.147194255	77.83092764	200.0824806	17.04075983	7.089218324	0.372679659	49.01313532	0.664053799	15.26523143	307.980238	34.61680511	58.54503369	1660.166315	11.78598773	903.81731	4.830879566	39.0876551	2.970967481	3.368645876	903.81731	0.664053799	
10054	BD	Rhesus	M	8.030281251	30.78	39	7.68	413	106.07	0.101	8.656666667	0.946666667	5.334787197	8.575547519	18.70692551	1.616053137	1.543717472	196.9620001	2123.173307	161.8883136	7.018900662	16.0454621	0.688065213	69.19440691	138.8053804	8.864978945	4.365476721	0.222445644	36.11809236	0.609518829	14.42091806	512.8525346	42.11565581	38.71148586	1944.218065	13.06762165	84.05736901	3.912446499	45.74883168	2.340639748	0.707971807	84.05736901	0.609518829	
10055	LD	Rhesus	M	8.424539861	22.25	65	4.93	311	117.81	0.139	10.07333333	0.932666667	6.829345659	9.973306762	30.41235818	2.81702538	3.187353897	305.1714545	2893.515919	196.2253385	8.670780802	24.31898677	0.761345617	94.65325994	212.5656085	17.53635439	6.905469806	0.223375429	75.38418326	0.921725421	20.75549119	329.5174795	44.13322365	79.51221046	2296.398447	29.62719073	104.7143223	7.043499323	37.21095754	4.687153067	2.914138893	104.7143223	0.921725421	
10056	LD	Rhesus	M	8.008377995	24.28	38	2.79	315	239.32	0.164	14.40333333	1.385333333																																
10057	BD	Rhesus	M	7.055586357	27.89	37	9.34	427	238.84	0.249	21.00333333	1.776666667	3.404032763	6.108692553	22.89571345	1.887841151	1.592344539	109.2250189	2293.145372	139.2035128	6.632887975	16.67170956	0.663941617	38.23305624	74.0142297	11.12826977	0.88	0.223375429	33.66203759	0.344732027	11.58552872	471.0613678	45.23938579	22.07323483	1970.346531	7.657001763	73.94978172	2.167122981	33.9669766	3.398101352	1.345320693	73.94978172	0.344732027	
10058	LD	Rhesus	M	7.176054265	25.82	57	2.63	383	123.57	0.083	24.31333333	1.703333333	3.810072525	8.402769261	24.462599	1.889268692	1.406735192	145.9869374	2062.375463	233.8047627	5.921177338	15.34259533	1.931974094	79.40927404	129.0957694	15.36483456	0.88	0.223533189	38.84435013	0.828206326	13.2232534	440.2427476	34.29664713	42.61268998	1459.545758	7.359669136	814.7469155	2.197887303	28.01451268	2.133074708	2.691852335	814.7469155	0.828206326	
10059	BD	Rhesus	M	7.176054265	36.64	47	25.2	520	911.2	0.402	14.15333333	1.048666667	4.128822479	8.333297262	33.12659103	1.88784115	1.623158071	143.9776444	3486.88	211.5354163	8.269439971	17.0648063	1.894141797	67.81916342	97.63213244	15.60879631	0.88	0.20477443	43.98428888	0.797858823	14.65157064	350.6234638	46.99802272	50.38452512	2236.898769	8.929755879	801.2775563	3.470571637	31.31315913	2.548683537	2.354016571	801.2775563	0.797858823	
10060	BD	Rhesus	M	5.705798203	74.5	24.535	17.415	144	130.97	0.0815	24.81	2.356666667	4.718008492	6.264758944	30.48260189	1.890945969	1.614717188	255.4035698	1867.541113	208.4664233	5.111526896	13.3534115	0.728353983	30.9557069	169.4233895	7.578384943	0.88	0.260923676	35.30205174	0.578382156	9.420982269	261.3401199	39.53679292	67.99115718	1951.426277	19.5720158	81.53841322	1.97436834	55.0655868	3.819972527	0.29	81.53841322	0.578382156	
10061	VHD	Rhesus	M	5.850907274	31	27.555	5.255	231	537.275	0.3015	22.96	1.92	0.18	0.778975963	33.0675091	1.117249878	1.475775472	323.3741412	555.3885098	127.6118492	6.352285164	17.26539256	0.831592914	23.95004668	262.9153774	3.300749396	0.29	0.434086607	19.35197317	0.039215643	13.4889125	1429.364724	60.41705692	97.11713482	513.2929085	13.62035716	89.31335113	5.993080006	276.6797312	2.893929072	0.29	89.31335113	0.039215643	
10062	VHD	Rhesus	M	5.935782391	40.5	26.985	7.36	254	179.965	0.0635	26.25	1.423333333	0.18	0.600982585	33.0675091	0.762034747	0.577485101	192.2509109	587.1853371	233.7248546	5.696548136	12.15995184	0.649280133	19.70259016	238.7230568	1.8	0.29	0.395265612	17.48282235	0.059	9.783269573	1049.632331	47.60943921	78.45282314	347.4219156	9.796476437	46.81131602	3.872352611	225.5704101	2.13101653	0.29	46.81131602	0.059	
10063	VHD	Rhesus	M	5.689370761	49	23.815	5.06	226	197.42	0.139	23.41666667	1.956666667	0.18	0.859627906	28.66470749	0.939994392	0.4935762	172.6305284	1308.669148	136.596318	5.943314935	15.78147312	0.575176049	23.25693768	163.415034	4.482131099	0.29	0.356141074	22.01968036	0.059	11.52354253	583.5335592	44.03849539	66.54821417	317.9462771	12.27776803	198.0088228	2.214822337	216.4752009	3.467305111	0.29	198.0088228	0.059	
10064	HD	Rhesus	M	5.651040062	69	22.67	7.125	277	150.49	0.269	21.96666667	2.256666667	3.645491264	1.652323438	11.29664881	1.538344325	2.233026846	162.5809498	1270.958124	78.93753234	5.696548136	24.21426568	0.951605383	67.16979684	109.6129194	33.97781713	0.656822108	0.356141074	60.01385785	0.091175496	43.16817768	1241.351294	60.42498724	132.845221	534.1798491	15.23711038	114.5180373	3.404574486	231.3766212	2.704631195	0.29	114.5180373	0.091175496	
10065	HD	Rhesus	M	5.935782391	64.5	23.275	3.48	244	249.325	0.215	30.83666667	2.253333333	3.239817189	1.420931157	23.09044345	1.357668463	1.991295736	189.858315	919.2623565	94.65290309	6.099726788	12.83693043	1.382661344	48.44724928	188.3210198	11.72327882	0.29	0.375622248	41.85821312	0.05166002	22.45197289	1146.49845	41.82263072	92.13201255	412.4401205	16.51678447	223.7522088	3.38298745	225.5130985	3.657058554	0.29	223.7522088	0.05166002	
10066	VHD	Rhesus	M	5.774245878	36.5	24.935	10.39	259	193.275	0.093	20.96333333	1.82	7.058117695	1.260900082	33.0675091	1.56838796	1.433332117	306.1461601	1957.232068	75.45203136	4.694151952	18.51555377	0.681181729	26.31363812	163.9698977	8.180185464	0.29	0.278851836	27.35399779	0.106207761	12.82622519	1193.87492	33.59733644	201.7478366	445.4099518	14.16868535	97.29562409	3.301494944	180.6258851	3.277768607	0.29	97.29562409	0.106207761	
10067	HD	Rhesus	M	5.812576576	38.5	25.715	3.36	236	247.64	0.109	18.99	1.846666667	5.482975531	2.767504761	27.43960724	1.532291749	1.960805876	372.1128333	2044.517236	112.9764566	6.077704198	12.29934	0.77768475	23.32969258	214.3438365	7.999670617	1.001263535	0.323212329	34.59068554	0.431535507	11.46617205	999.4524129	57.0431433	165.9852809	1248.481899	15.62762794	113.7745877	4.197399527	120.664776	3.085844133	5.270990636	113.7745877	0.431535507	
10069	VHD	Rhesus	F	4.136977488							19.14333333	1.010333333	0.18	0.502552828	16	0.93267473	1.150020404	121.0834221	633.3809271	38.35463946	3.612534323	12.69831245	1.240389725	17.24958942	193.0848915	1.8	0.29	0.231786323	34.25284865	0.059	15.70384532	821.5500279	68.65257188	49.79951515	316.2306578	22.55554012	112.0514541	2.781656767	190.9216435	5.208272386	0.29	112.0514541	0.059	
10070	VHD	Rhesus	F	4.117812139							13.23666667	1.203333333	0.18	0.307750553	11.24375224	0.982900069	0.824044248	139.6866329	267.0707707	84.05479106	4.414260885	9.251038996	1.278722652	12.63580009	178.6628133	2.653526169	0.29	0.517032499	39.23940872	0.059	16.16422835	599.854709	69.86295797	47.66882114	287.6288136	23.03560463	204.3101681	1.492830861	184.8641918	4.862588403	0.29	204.3101681	0.059	
10072	LD	Rhesus	F	5.834479832							19.53	1.314666667	0.55	4.355279843	58.41862302	1.494487912	0.781903962	841.6669369	1995.65963	100.7214018	4.601235861	14.60790939	0.578106477	21.03274479	89.63564365	3.063781958	2.6	0.134562863	50.00331155	0.445677898	10.25975063	764.0421199	25.65258112	32.36295414	2022.352586	16.84812946	252.3356579	1.935677214	33.20779253	2.009772901	0.2	252.3356579	0.445677898	
10073	VHD	Rhesus	F	5.629136806							7.54	0.935																																
10074	LD	Rhesus	F	5.585330294							30.53	1.087	0.55	8.942961273	39.8682262	3.426452322	2.180160929	316.1899172	1102.435628	171.2275708	8.375373448	15.0189754	0.786771459	21.03274479	176.342798	6.13310358	2.6	0.210196023	50.07271237	0.493658215	20.30766295	1778.38694	32.4528729	20.4009352	1814.715446	18.93261011	80.38862094	6.935297918	45.98425644	1.611259166	0.2	80.38862094	0.493658215	
10075	HD	Rhesus	F	5.834479832							14.43666667	1.065	1.337943936	3.694236145	31.82554349	1.494664371	1.398954043	272.7811137	1705.445078	121.0060515	7.288170387	15.66129986	0.654893248	27.99907985	172.7339998	11.03003444	2.6	0.109395877	43.47965875	0.205974952	11.34151933	744.4220892	40.22781791	49.564644	1706.172941	17.62462293	85.63957495	2.782636939	34.40215348	1.611259166	1.038824883	85.63957495	0.205974952	
10077	LD	Rhesus	F	6.042560764							28.72	2.146666667	0.55	2.153242067	10.8133608	1.041209423	0.60381734	98.03228973	111.3047768	67.25466004	35.16446918	4.288511307	0.378044545	4.5	36.18583642	2.468847797	2.6	0.059061903	19.65742218	0.059	5.893797997	491.3840578	196.5676252	20.4009352	254.6241246	5.585728175	17	1.819818415	17.18897857	0.814231697	0.2	17	0.059	
10078	VHD	Rhesus	F	3.835807717							17.22666667	1.31	0.18	0.279798349	16	0.982594083	0.483490988	249.3550751	486.8826742	69.48982413	5.763892574	9.539343897	1.278764087	25.1652337	163.3550888	1.8	0.29	0.216399958	61.17936742	0.059	18.85528675	452.055598	56.25273597	37.55047762	325.9535675	23.67682767	77.84194148	2.320122861	155.6900135	5.038938898	0.29	77.84194148	0.059	
10079	VHD	Rhesus	F	4.156142837							25.08	1.6	0.18	0.220253089	16	1.094789166	0.878175678	183.7748261	391.6478981	84.6620488	6.351362289	17.83085796	1.263349039	61.55710144	209.4192718	1.8	0.29	0.265215975	31.5544218	0.059	18.71739418	789.9095864	68.41967092	48.72684807	295.4811691	26.92165889	72.20385928	2.498822142	190.1693156	4.689492123	0.29	72.20385928	0.059	
10080	VHD	Rhesus	F	4.156142837							17.11333333	1.047	0.18	0.413280549	16	1.08158363	0.932549369	215.7365232	499.7597512	96.08582935	5.584881182	11.73930434	1.301938539	16.14373876	263.261842	1.8	0.29	0.253901082	42.07576584	0.059	16.96627916	553.0375214	71.29533547	51.64293937	375.3414151	34.64037953	156.125888	2.369128777	210.3108432	4.861378145	0.29	156.125888	0.059	
10081	VHD	Rhesus	F	4.156142837							27.04666667	1.082666667																																
10082	HD	Rhesus	M	6.291710302	26.175	84.475	3.105	336.5	204.6145	0.146	26.44333333	1.42																																
10083	LD	Rhesus	M	5.793411227	22.165	36.01	3.255	298.5	84.803	0.1125	16.62	0.81																																
10084	LD	Rhesus	M	5.656515876	28.585	33.86	9.195	314	90.5375	0.21	27.4	1.4																																
10085	LD	Rhesus	M	5.864596809	19.055	60.69	4.296	307.5	85.944	0.1565	28.68333333	1.65																																
10086	BD	Rhesus	M	5.642826341	15.93	18.645	3.84	206.5	104.352	0.142	24.49333333	1.030666667																																
10087	BD	Rhesus	M	4.356010048	55.5	30.395	1.185	375	137.36	0.1575	25.5	1.426666667	1.361278447	4.3301286	10.98593874	1.154639569	1.375226468	404.3955559	202.1970637	146.8155495	3.124485661	13.32022993	0.22760692	41.88577753	122.2792327	6.272038589	0.88	0.056415724	38.06685572	0.345605428	7.62068771	450.7786326	32.96151906	15.58886816	570.9117281	14.42980775	17	1.998031397	41.33789729	1.001704441	0.29	17	0.345605428	
10088	HD	Rhesus	M	4.487429584	51.5	21.015	1.785	351.5	88.855	0.1825	33.05	2.03	7.778000662	3.989150719	19.14547561	1.095414564	1.486566215	350.67323	292.0846128	129.8721718	5.268952469	12.82298533	0.314867278	104.5638374	143.1495806	9.16918497	10.36803324	0.122383983	31.13182199	0.435331231	17.74601456	274.9355891	29.91741552	15.33150598	688.458551	8.679264289	69.12276364	2.246747454	33.72598542	1.5671502	0.29	69.12276364	0.435331231	
10089	LD	Rhesus	M	4.648966098	38.5	20.505	0.425	290.5	77.665	0.118	26.96333333	1.32	4.962484727	6.817367093	34.87837175	1.71122379	1.895867923	280.8855964	3478.398805	97.00875019	8.880985263	14.83090351	0.650331105	32.66776028	245.3952202	11.09695437	2.6	0.201810567	54.53497549	0.51616866	13.84664739	386.3700047	56.8690431	21.69724351	2315.655431	16.46296142	92.11773943	1.576547263	48.17191331	2.614796006	0.315434791	92.11773943	0.51616866	
10090	LD	Rhesus	M	4.254707489	42	16.395	1.975	325	73.935	0.155	42.06666667	1.406666667																																
10091	VHD	Rhesus	M	4.34505842	90	28.32	0.88	414.5	280.125	0.4425	30.17666667	1.534333333	1.988169969	5.867511384	19.99995532	1.671817246	1.712561388	174.5591972	579.4415842	199.2260366	4.428526541	13.32386413	0.330809853	64.94293963	116.0116162	7.295112212	0.88	15.85128553	30.74505402	0.561054719	9.797932309	1262.899394	39.16119022	17.34916682	1188.4373	14.42980775	33.00618065	1.772455923	48.97684642	1.001704441	1.176236487	33.00618065	0.561054719	
10092	LD	Rhesus	M	4.295776094	114.5	30.93	1.275	455	70.85	0.1	25.37	1.136666667	5.593759968	3.925549941	21.27939349	1.208635256	1.370434323	121.3950019	2203.770418	144.2643446	4.766413265	11.80136731	0.728353983	59.69457295	181.3690386	7.978611521	0.88	0.184875531	35.30205174	0.438146319	9.420982269	409.9142447	40.17153487	46.54204156	2159.512802	17.21909414	106.7914994	2.246341366	43.23767555	2.132595959	0.29	106.7914994	0.438146319	
10097	HD	Rhesus	M	4.334106792	50	33.4	0.645	420	83.71	0.1155	45.70666667	1.453333333																																
10098	VHD	Rhesus	M	3.986392602	61.5	18.115	8.51	398	267.78	0.3195	27.45666667	0.987																																
10099	BD	Cyno	F	10.18227616							9.983333333	1.146333333																																
10102	LD	Cyno	F	10.42047407							22.08666667	1.201																																
10104	BD	Cyno	F	10.16311081							6.456666667	0.435333333																																
10199	LD	Cyno	M	5.829004018							18.63333333	1.38																																
10200	LD	Cyno	M	5.9001896							21.03333333	1.66																																
10201	HD	Cyno	M	5.9001896							18.64333333	2.096666667																																
10202	LD	Cyno	M	6.620259143							11.39	1.043333333																																
10203	LD	Cyno	M	5.63461262							10.89333333	1.1																																
10205	LD	Cyno	M	6.332778907							14.09333333	1.023333333																																
10206	LD	Cyno	M	6.143863324							8.043333333	0.691666667																																
10207	HD	Cyno	M	5.801624948							25.54	1.403333333																																
10208	BD	Rhesus	M	5.875548437							34.25333333	2.26							2485.442324	112.5457089							3.287221791		90.49543777	0		849.7600524		36.91041362					26.40979633				0	36.91041362
10209	HD	Rhesus	M	5.837217739							16.31333333	0.908333333							3291.879738	258.2228537							5.498790357		79.38234649	0		1372.84273		21.11379922					26.40979633				0	21.11379922
10210	LD	Rhesus	M	6.163028673							10.71333333	1.122							1647.136755	147.9454683							4.1975511		79.38234649	0		943.8170074		22.08340877					16.80726338				0	22.08340877
10211	BD	Rhesus	M	5.018583544							28.95666667	1.453333333							357.5409186	134.9997509							2.140437601		25.32084077	0		628.3962426		18.93369211					16.80726338				0	18.93369211
10212	VHD	Rhesus	M	5.037748893							43.58666667	1.53							2504.483472	118.9464543							3.095794337		73.34237238	0		1349.136606		17.72352381					29.27218263				0	17.72352381
10213	LD	Rhesus	M	4.742054936							36.67333333	1.265333333							217.2289049	91.19002451							1.312325627		12.43991137	0		1513.392643		18.20746285					16.80726338				0	18.20746285
10214	VHD	Rhesus	M	5.037748893							36.22666667	1.926666667							60.69223961	110.4099187							0.185404268		8.293274245	0		1196.39292		10.96193129					14.8254732				0	10.96193129
10215	VHD	Rhesus	M	5.076079591							11.02666667	0.984666667							2569.15065	188.1237766							4.1975511		73.69070592	0		944.7297246		13.85615153					19.41867846				0	13.85615153
10225	HD	Cyno	M	6.724299609							18.13	1.290666667																																
10226	HD	Cyno	M	6.527170305							13.36666667	0.784333333																																
10227	VHD	Cyno	M	6.603831701							28.05666667	1.523333333																																
10228	HD	Cyno	M	6.592880073							9.326666667	0.842666667																																
10229	HD	Cyno	M	6.790009377							34.39333333	2.056666667																																
10230	HD	Cyno	M	6.685968911							15.60666667	1.333333333																																
10231	LD	Cyno	M	6.497053328							16.78333333	1.463333333																																
10235	HD	Cyno	M	6.620259143							9.336666667	0.76																																
10236	HD	Cyno	M	6.557287282							2.643333333	0.752666667																																
10242	VHD	Rhesus	M	5.193809592															2452.905459	135.7728108							6.051107064		153.24408	0		1027.486786		34.24188147					33.6374821				0	34.24188147
10243	LD	Rhesus	M	5.437483316															8022.151082	193.2961139							4.187685013		99.87762611	0		1933.188522		168.6859859					44.71217826				0	168.6859859
10244	VHD	Rhesus	M	5.327967036															3030.805251	200.8492131							8.332517512		167.6458533	0		1093.965834		55.57106137					33.68452071				0	55.57106137
10246	LD	Rhesus	M	5.174644243															2330.915226	181.2047776							8.147364843		132.9909101	0		1159.362959		59.74976925					34.99366283				0	59.74976925
10247	VHD	Rhesus	M	5.251305639															2319.465217	117.9601784							6.832380131		162.9601952	0		1236.730589		41.9657896					37.57114363				0	41.9657896
10248	VHD	Rhesus	M	5.390938897															3675.122557	120.6472909							2.57239119		114.1991006	0		718.8605834		88.3435576					30.97215925				0	88.3435576
10249	VHD	Rhesus	M	5.284160523															5109.561972	104.910281							7.308557459		167.7565803	0		1287.563274		62.9486587					36.30280495				0	62.9486587
10251	BD	Rhesus	M	5.229402383															7586.077667	158.6137859							6.221046076		131.9566998	0		1387.487229		81.41774901					34.90582078				0	81.41774901
10252	VHD	Rhesus	M	5.264995174															1990.073685	184.2575283							5.033377429		105.7495895	0		597.8454468		108.6843595					41.30437199				0	108.6843595